usernum,stim,cond,adjtype,displaytype,version,audiofile,response,timestamp,order,selectedpos,images,phrase,native,type,stimnum,mturkid,time,cheater,selection,target,condcollapsed,target1,target1hasrel,target1hasabs,target2hasrel,target2hasabs
55,target-5,cmp:rel-abs:a,cmp,abs-rel,a,target-5-a-cmp,2,Fri Aug 24 13:04:31 2018,5:1:2:3:4,1,man-big_fan:lady-med_fan:lady-small_fan:lady-med_fish:man-small_fish,lady with the bigger [inaudible],,target,5,54e4be1bfdf99b5bad68f1a5,5,FALSE,target2,1,abs-rel cmp,1,0,1,1,0
55,target-11,pos:rel-abs:a,pos,abs-rel,a,target-11-a-pos,2,Fri Aug 24 13:04:44 2018,1:5:3:2:4,5,boy-big_carrot:policewoman-med_carrot:policewoman-small_carrot:policewoman-med_cookie:boy-small_cookie,policewoman with the big [inaudible],,target,11,54e4be1bfdf99b5bad68f1a5,5,FALSE,target2,1,abs-rel pos,1,0,1,1,0
55,target-1,pos:abs-both:a,pos,abs-both,a,target-1-a-pos,4,Fri Aug 24 13:05:07 2018,2:3:4:5:1,5,frog-big_basket:rabbit-med_box:frog-small_box:rabbit-med_bag:rabbit-small_bag,rabbit in the big [inaudible],,target,1,54e4be1bfdf99b5bad68f1a5,7,FALSE,target2,1,abs-both pos,1,0,1,1,1
55,target-8,cmp:rel-abs:b,cmp,abs-rel,b,target-8-b-cmp,4,Fri Aug 24 13:05:19 2018,5:4:2:3:1,3,rabbit-big_can:bird-med_can:bird-small_can:bird-med_cup:rabbit-small_cup,bird in the bigger [inaudible],,target,8,54e4be1bfdf99b5bad68f1a5,4,FALSE,target1,0,abs-rel cmp,0,0,1,1,0
55,target-6,cmp:rel-both:a,cmp,both-rel,a,target-6-a-cmp,2,Fri Aug 24 13:05:34 2018,1:4:5:3:2,4,man-big_dog:girl-med_dog:girl-small_dog:girl-med_duck:girl-small_duck,girl with the bigger [inaudible],,target,6,54e4be1bfdf99b5bad68f1a5,5,FALSE,target2,1,both-rel cmp,1,0,0,0,0
55,target-2,pos:rel-abs:b,pos,abs-rel,b,target-2-b-pos,2,Fri Aug 24 13:05:47 2018,2:3:5:4:1,3,bird-big_bathtub:frog-med_bathtub:frog-small_bathtub:frog-med_bucket:bird-small_bucket,frog in the big [inaudible],,target,2,54e4be1bfdf99b5bad68f1a5,5,FALSE,target2,1,abs-rel pos,1,0,1,1,0
55,target-9,cmp:rel-both:b,cmp,both-rel,b,target-9-b-cmp,2,Fri Aug 24 13:06:00 2018,2:1:3:5:4,1,frog-big_glue:monkey-med_glue:monkey-small_glue:monkey-med_grapes:monkey-small_grapes,monkey with the bigger [inaudible],,target,9,54e4be1bfdf99b5bad68f1a5,5,FALSE,target2,1,both-rel cmp,1,0,0,0,0
55,target-7,cmp:abs-both:a,cmp,abs-both,a,target-7-a-cmp,4,Fri Aug 24 13:06:14 2018,5:3:4:1:2,1,girl-big_sandwich:man-med_sock:girl-small_sock:man-med_scarf:man-small_scarf,man with the bigger [inaudible],,target,7,54e4be1bfdf99b5bad68f1a5,4,FALSE,target2,1,abs-both cmp,1,0,1,1,1
56,target-5,cmp:rel-both:a,cmp,both-rel,a,target-5-a-cmp,4,Fri Aug 24 13:02:17 2018,1:3:2:4:5,4,man-big_fan:lady-med_fan:lady-small_fan:lady-med_fish:lady-small_fish,lady with the bigger [inaudible],,target,5,c46309,7,FALSE,target1,0,both-rel cmp,0,0,0,0,0
56,target-2,pos:rel-both:b,pos,both-rel,b,target-2-b-pos,2,Fri Aug 24 13:02:37 2018,3:5:4:2:1,5,bird-big_bathtub:frog-med_bathtub:frog-small_bathtub:frog-med_bucket:frog-small_bucket,frog in the big [inaudible],,target,2,c46309,7,FALSE,target2,1,both-rel pos,1,0,0,0,0
